sales_month,monthly_sales,month_number,month_name,year
2024-01-01,2329727.46,1,January,2024
2024-02-01,2356329.65,2,February,2024
2024-03-01,2466778.34,3,March,2024
2024-04-01,1991364.75,4,April,2024
2024-05-01,2232908.12,5,May,2024
2024-06-01,2226488.53,6,June,2024
2024-07-01,2436338.15,7,July,2024
2024-08-01,2175366.89,8,August,2024
2024-09-01,2196125.86,9,September,2024
2024-10-01,2208439.3,10,October,2024
2024-11-01,2260288.17,11,November,2024
2024-12-01,2426090.46,12,December,2024
2025-01-01,2564117.8,1,January,2025
2025-02-01,2138013.43,2,February,2025
2025-03-01,2353701.5,3,March,2025
2025-04-01,2216617.16,4,April,2025
2025-05-01,2328927.03,5,May,2025
2025-06-01,1992850.82,6,June,2025
2025-07-01,2381378.28,7,July,2025
2025-08-01,2176436.52,8,August,2025
2025-09-01,2221044.05,9,September,2025
2025-10-01,2226631.07,10,October,2025
2025-11-01,2277324.87,11,November,2025
2025-12-01,2119097.42,12,December,2025
