Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD100001,2025-07-12,2025-07-13,Same Day,CUST1130,Customer 123,Consumer,USA,New York,New York,38657,East,PROD338,Technology,Accessories,Accessories Model 617,860.76,4,0.05,52.29
ORD100002,2024-01-07,2024-01-14,Second Class,CUST3859,Customer 1732,Corporate,USA,Philadelphia,Pennsylvania,46421,East,PROD259,Furniture,Bookcases,Bookcases Model 320,2648.83,9,0.15,441.77
ORD100003,2024-02-14,2024-02-20,Same Day,CUST3196,Customer 512,Corporate,USA,Houston,Texas,20328,South,PROD665,Furniture,Tables,Tables Model 400,2293.72,2,0.1,438.37
ORD100004,2024-03-22,2024-03-29,Second Class,CUST4549,Customer 414,Corporate,USA,Miami,Florida,46434,South,PROD564,Furniture,Bookcases,Bookcases Model 750,1997.34,2,0.0,563.09
ORD100005,2025-10-25,2025-10-26,Second Class,CUST3187,Customer 2987,Consumer,USA,Houston,Texas,31417,South,PROD573,Office Supplies,Paper,Paper Model 488,1162.36,4,0.3,245.25
ORD100006,2024-02-27,2024-02-29,Standard Class,CUST4297,Customer 1293,Corporate,USA,Miami,Florida,45093,South,PROD167,Technology,Copiers,Copiers Model 316,1399.83,4,0.3,224.66
ORD100007,2024-09-09,2024-09-15,First Class,CUST4059,Customer 2395,Corporate,USA,Houston,Texas,86484,South,PROD508,Technology,Accessories,Accessories Model 470,3425.59,7,0.3,32.42
ORD100008,2024-06-12,2024-06-19,Same Day,CUST3442,Customer 261,Corporate,USA,Los Angeles,California,60019,West,PROD710,Technology,Accessories,Accessories Model 579,2588.86,2,0.0,248.15
ORD100009,2025-10-18,2025-10-21,Standard Class,CUST2202,Customer 1781,Consumer,USA,Miami,Florida,69470,South,PROD103,Furniture,Bookcases,Bookcases Model 839,1861.28,2,0.3,288.99
ORD100010,2025-09-15,2025-09-17,Second Class,CUST2531,Customer 3124,Consumer,USA,Miami,Florida,80697,South,PROD897,Furniture,Bookcases,Bookcases Model 643,646.38,2,0.3,78.65
ORD100011,2024-11-10,2024-11-12,Standard Class,CUST1986,Customer 3597,Home Office,USA,Philadelphia,Pennsylvania,20322,East,PROD187,Office Supplies,Paper,Paper Model 849,1395.07,1,0.0,437.52
ORD100012,2024-09-28,2024-10-03,Same Day,CUST4950,Customer 868,Home Office,USA,Chicago,Illinois,36365,Central,PROD830,Technology,Phones,Phones Model 419,1519.18,3,0.3,144.23
ORD100013,2024-03-06,2024-03-09,Standard Class,CUST3409,Customer 2269,Consumer,USA,Minneapolis,Minnesota,87128,Central,PROD325,Technology,Accessories,Accessories Model 107,4404.48,8,0.2,195.43
ORD100014,2024-03-13,2024-03-18,Second Class,CUST2140,Customer 2741,Corporate,USA,Philadelphia,Pennsylvania,38080,East,PROD652,Technology,Phones,Phones Model 235,5440.09,4,0.0,1674.95
ORD100015,2025-03-09,2025-03-13,Same Day,CUST4538,Customer 2987,Consumer,USA,Chicago,Illinois,98259,Central,PROD769,Office Supplies,Paper,Paper Model 761,653.83,4,0.0,117.24
ORD100016,2025-04-04,2025-04-06,Same Day,CUST1751,Customer 1141,Corporate,USA,New York,New York,42742,East,PROD995,Office Supplies,Storage,Storage Model 177,2328.07,6,0.0,249.25
ORD100017,2024-08-30,2024-09-01,Same Day,CUST2989,Customer 1972,Consumer,USA,Minneapolis,Minnesota,62565,Central,PROD160,Furniture,Chairs,Chairs Model 268,13087.03,9,0.0,4291.37
ORD100018,2025-07-23,2025-07-29,Same Day,CUST1634,Customer 778,Corporate,USA,Chicago,Illinois,38534,Central,PROD159,Office Supplies,Paper,Paper Model 693,4651.57,8,0.1,1382.42
ORD100019,2025-06-27,2025-06-29,Standard Class,CUST4935,Customer 2081,Consumer,USA,Philadelphia,Pennsylvania,34356,East,PROD170,Office Supplies,Binders,Binders Model 709,580.52,1,0.2,142.7
ORD100020,2025-09-26,2025-09-27,Same Day,CUST3692,Customer 2391,Home Office,USA,Philadelphia,Pennsylvania,78522,East,PROD423,Furniture,Tables,Tables Model 367,615.04,2,0.2,91.24
ORD100021,2024-11-03,2024-11-07,First Class,CUST4805,Customer 3080,Consumer,USA,Seattle,Washington,11220,West,PROD569,Technology,Accessories,Accessories Model 736,2180.75,4,0.1,461.24
ORD100022,2024-03-11,2024-03-13,First Class,CUST2167,Customer 647,Corporate,USA,New York,New York,81200,East,PROD820,Technology,Phones,Phones Model 409,1749.89,9,0.1,200.72
ORD100023,2025-07-20,2025-07-22,First Class,CUST2154,Customer 2478,Consumer,USA,Philadelphia,Pennsylvania,54942,East,PROD308,Technology,Accessories,Accessories Model 803,781.68,2,0.05,232.09
ORD100024,2024-02-15,2024-02-16,First Class,CUST4158,Customer 536,Home Office,USA,Miami,Florida,44335,South,PROD265,Office Supplies,Paper,Paper Model 859,958.74,1,0.0,286.48
ORD100025,2025-12-08,2025-12-10,Standard Class,CUST4418,Customer 1513,Home Office,USA,Minneapolis,Minnesota,82420,Central,PROD251,Technology,Accessories,Accessories Model 540,1670.16,9,0.0,557.02
ORD100026,2024-04-15,2024-04-18,Same Day,CUST4988,Customer 2543,Home Office,USA,Los Angeles,California,30257,West,PROD342,Office Supplies,Paper,Paper Model 985,297.82,1,0.1,25.27
ORD100027,2025-02-25,2025-03-04,Second Class,CUST2092,Customer 653,Home Office,USA,Los Angeles,California,24168,West,PROD491,Office Supplies,Binders,Binders Model 993,2915.31,3,0.3,480.2
ORD100028,2024-08-21,2024-08-23,Standard Class,CUST3703,Customer 792,Corporate,USA,Boston,Massachusetts,53025,East,PROD385,Furniture,Chairs,Chairs Model 985,3396.11,8,0.1,844.29
ORD100029,2024-12-05,2024-12-06,Standard Class,CUST4592,Customer 3975,Corporate,USA,Boston,Massachusetts,33405,East,PROD694,Office Supplies,Storage,Storage Model 371,7846.5,9,0.15,1907.47
ORD100030,2025-06-07,2025-06-08,Same Day,CUST4684,Customer 2362,Consumer,USA,New York,New York,43386,East,PROD145,Technology,Accessories,Accessories Model 825,4972.44,6,0.3,302.91
ORD100031,2024-12-04,2024-12-09,First Class,CUST3717,Customer 3474,Consumer,USA,Chicago,Illinois,49363,Central,PROD619,Technology,Copiers,Copiers Model 416,2369.95,4,0.1,698.34
ORD100032,2025-01-23,2025-01-29,Second Class,CUST3521,Customer 2332,Corporate,USA,Detroit,Michigan,63225,Central,PROD661,Office Supplies,Storage,Storage Model 953,833.54,5,0.2,80.13
ORD100033,2025-03-28,2025-04-01,Second Class,CUST3093,Customer 1939,Home Office,USA,Boston,Massachusetts,32241,East,PROD774,Office Supplies,Binders,Binders Model 186,5140.01,7,0.2,342.71
ORD100034,2024-08-28,2024-09-03,First Class,CUST1920,Customer 3304,Consumer,USA,Miami,Florida,29313,South,PROD125,Technology,Copiers,Copiers Model 147,1423.92,10,0.1,420.91
